PC1,PC2,Air Quality
0.319811727093219,0.7393329600943702,Moderate
0.5558772671526292,-0.42108550576570725,Moderate
0.14403436359077867,0.053980180826786295,Moderate
-0.7179787055090928,0.7023626124228716,Good
-0.5981052425607313,0.1259155059229131,Good
1.5382636796148115,-0.6747203412686432,Hazardous
1.3523431908110637,0.31161915370761334,Poor
0.401295899478853,0.373603775101778,Moderate
0.8028381211874297,-1.5340489987419514,Poor
0.818512919816927,-0.062186136434332184,Poor
-0.7278932975842823,0.40358980525199295,Good
0.14383027266240922,0.8560802465342175,Moderate
-0.6478181430625631,-0.7196425657486846,Good
-0.3903917480815604,-0.1776725502678379,Good
-0.3307081578687368,0.6051773120719984,Good
0.27800470369013003,0.1470680407167356,Moderate
-1.0471518431123996,0.2654135537344979,Good
1.2077458681126303,-1.4788955514751236,Poor
0.8998312516970339,-0.12534795327621745,Moderate
0.9815822326082206,-0.508984918806089,Poor
0.21897324464900145,-0.7591173852119133,Moderate
-0.9240542157538044,1.3254184299008416,Good
-0.05382614245286137,-0.3905333777528715,Good
-0.5837850267631599,-0.35648916010021325,Good
-1.820606402642751,-0.41440505164684277,Good
-0.6266468649593306,0.27411328736551493,Good
0.11502699099084501,0.999329340179574,Good
1.5829101223336337,-0.2727643126494522,Poor
0.13892454989282638,0.2657049102866044,Good
0.6970195534867792,1.438615715962517,Hazardous
1.2988637057748864,1.2142995025297494,Hazardous
-0.6830396136324556,-0.8131266961541859,Good
1.1663114834929609,-0.15121463592529644,Poor
-1.0915547613808747,0.23182578037918283,Poor
-0.4508734913219881,0.7437809794457998,Good
-0.10038472246127009,-0.1138876407137989,Moderate
-0.22692505252882395,0.7537397691644642,Good
-0.8776137037286053,-0.12774879995563523,Good
-0.3872672035749431,-0.4970141650325263,Good
-0.33128275744128693,-0.5429988904236851,Hazardous
0.6299208788934075,-0.004721842103709725,Hazardous
0.26599247084420313,0.1706221572062972,Poor
0.20708960483643654,-1.2880349064403995,Poor
0.12066254054477249,-0.15002849844463043,Poor
-0.20926350137792213,-0.26575542559671056,Moderate
-0.8505657799925238,-0.4058798488761166,Good
-1.1490498230088222,0.0153330809167826,Good
-0.16198599943220765,0.22494866036600525,Good
-0.10797734064978892,0.10625407335382202,Good
-1.882669839397225,-0.3002992252483064,Moderate
0.6235974893706923,0.02547041289932607,Hazardous
-0.20392894374222012,0.7596649828724586,Good
0.46922779094158595,0.12529780158636067,Moderate
0.1682096426998143,-0.6704235159389528,Hazardous
0.29338042814326376,0.11498243194372118,Hazardous
1.814123710064097,1.182571123280357,Poor
0.1302975364313541,0.001195810795225384,Moderate
1.1441068126068183,-0.47209364618954974,Moderate
0.26033353088857275,-0.3123929878116191,Moderate
0.8253453974001651,-0.9235125034471164,Poor
-0.6997495767616642,0.6451791731376862,Good
0.41042175919361706,-0.8399784944306012,Poor
-0.7717217574825499,-0.6630985834105985,Poor
-0.45383999940530434,-0.3003201754058441,Good
-0.1561887843978776,0.1363025569950848,Good
-0.6285353246632798,0.491567412567703,Good
-0.723005208541972,0.9137231791132558,Poor
0.8441157050580939,-0.032187499473577755,Hazardous
-0.3926424706333699,-0.4504334459898264,Good
0.26471906235088366,-0.184781412259399,Moderate
-0.18729069260756379,0.5781779669851941,Good
